id    count  label
S01       0  #private field or method
S02       0  cast through unknown
S03       0  Any-prefixed type name
S04       0  swallowed promise
S05       0  bare throw new Error / TypeError
S06       0  console in source
S07       0  enum declaration
S08       0  Reflect call
S09       1  layer word in a name
    apps/issue-tracker/src/server/routes.ts:19:export function reportUnmapped(observe: Observe.Config | undefined): ErrorHandler {
S10       0  line comment (only TSDoc allowed)
S11       0  block comment that is not TSDoc
S12       0  ts-ignore / ts-expect-error
S13       0  lint disable
S14       0  tuple index read x[N]
S15       0  Object.freeze of a value (empty-literal sentinel allowed)
S16       0  preset() call in source (test-only API)
T01       0  mock or spy
T02       0  sleeping in a test
T03       0  only / skip left in
T04       0  import of a private source module
T05       0  internals asserted
T06       0  cast through unknown
T08       0  isError inside expect (guard used as assertion)
T09       0  mutation-score or coverage named in a test title
T07       1  instanceof or message assert around an error
    apps/issue-tracker/tests/observe.test.ts:50:    await expect(scope.run(breaks)).rejects.toThrow("boom");
P01       0  accessor in an object literal (class + prototype accessor)
P02       0  constructor parameter property (strip-types rejects)
P04       0  Set/Map seeded from an array literal (use add/set)
W10       0  Proxy creation (share one trap object)
W12       0  Object.defineProperty (never on a hot path)
W11       0  bind(this) (arrow field instead)
W01     146  readonly modifier
W02       2  as const
W03       0  satisfies
W04       0  non-null assertion x!
W05       0  explicit any
W06       0  let x!: definite assignment
W07       9  line longer than 100 chars
W09       0  interface declaration (type preferred)
W08      54  test count (watch: many small tests)
Style census: FAIL (S09 T07)
